Rel.cont	Group	OTU_ID
0.044064748	Rel.cont.L	OTU_22
0.013408688	Rel.cont.L	OTU_22
0.000274198	Rel.cont.L	OTU_22
3.99E-05	Rel.cont.L	OTU_22
0.000101179	Region.P.Rel.cont	OTU_22
0.000264936	Region.P.Rel.cont	OTU_22
0.001352696	Region.P.Rel.cont	OTU_22
0.001340643	Region.P.Rel.cont	OTU_22
0.006298629	Region.P.Rel.cont	OTU_22
9.43E-05	Region.P.Rel.cont	OTU_22
0.004113356	Region.P.Rel.cont	OTU_22
0.008948153	Region.P.Rel.cont	OTU_22
0.005138517	Region.P.Rel.cont	OTU_22
0.003865819	Region.P.Rel.cont	OTU_22
0.044805292	Region.P.Rel.cont	OTU_22
0.094985757	Region.P.Rel.cont	OTU_22
0.134488866	Region.P.Rel.cont	OTU_22
0.008792683	Region.P.Rel.cont	OTU_22
0.033820483	Region.P.Rel.cont	OTU_22
0.093243002	Region.P.Rel.cont	OTU_22
0.083281541	Region.P.Rel.cont	OTU_22
0.040026954	Region.P.Rel.cont	OTU_22
0.022917585	Region.P.Rel.cont	OTU_22
0.009884679	Region.P.Rel.cont	OTU_22
0.081930547	Region.P.Rel.cont	OTU_22
0.035077666	Region.P.Rel.cont	OTU_22
0.043556986	Region.P.Rel.cont	OTU_22
0.116367169	Region.P.Rel.cont	OTU_22
0.029305913	Region.P.Rel.cont	OTU_22
0.215816128	Region.P.Rel.cont	OTU_22
0.015283843	Region.P.Rel.cont	OTU_22
0.025333223	Region.P.Rel.cont	OTU_22
0.001519757	Region.P.Rel.cont	OTU_22
0.003144654	Region.P.Rel.cont	OTU_22
0.009238058	Region.P.Rel.cont	OTU_22
0.009252034	Region.P.Rel.cont	OTU_22
0.002276176	Region.P.Rel.cont	OTU_22
0.031791908	Region.P.Rel.cont	OTU_22
0.051569688	Region.P.Rel.cont	OTU_22
8.18E-05	Region.P.Rel.cont	OTU_22
0.071123115	Region.P.Rel.cont	OTU_22
0.09326974	Region.P.Rel.cont	OTU_22
0.166107865	Region.P.Rel.cont	OTU_22
0.002129693	Region.P.Rel.cont	OTU_22
0.02946896	Region.P.Rel.cont	OTU_22
0.003097767	Region.P.Rel.cont	OTU_22
0.0017427	Region.P.Rel.cont	OTU_22
0.017926501	Region.P.Rel.cont	OTU_22
0.008654479	Region.P.Rel.cont	OTU_22
0.034280659	Region.P.Rel.cont	OTU_22
0.004028692	Region.P.Rel.cont	OTU_22
0.028516993	Region.P.Rel.cont	OTU_22
0.000284726	Region.P.Rel.cont	OTU_22
0.000241245	Region.P.Rel.cont	OTU_22
0.006580623	Region.P.Rel.cont	OTU_22
0.055488248	Region.P.Rel.cont	OTU_22
0.028487662	Region.P.Rel.cont	OTU_22
0.006983184	Region.P.Rel.cont	OTU_22
0.019045288	Region.P.Rel.cont	OTU_22
0.065257557	Region.P.Rel.cont	OTU_22
0.001971091	Region.P.Rel.cont	OTU_22
0.008395266	Region.P.Rel.cont	OTU_22
0.002511702	Region.P.Rel.cont	OTU_22
0.035620606	Region.P.Rel.cont	OTU_22
0.041751527	Region.P.Rel.cont	OTU_22
0.007450772	Region.P.Rel.cont	OTU_22
0.001230445	Region.P.Rel.cont	OTU_22
0.019153802	Region.P.Rel.cont	OTU_22
4.36E-05	Region.S.Rel.cont	OTU_22
3.91E-05	Region.S.Rel.cont	OTU_22
5.04E-05	Region.S.Rel.cont	OTU_22
2.82E-05	Region.S.Rel.cont	OTU_22
4.64E-05	Region.S.Rel.cont	OTU_22
0.000156274	Region.S.Rel.cont	OTU_22
0.002151235	Region.S.Rel.cont	OTU_22
0.001021222	Region.S.Rel.cont	OTU_22
0.000553097	Region.S.Rel.cont	OTU_22
0.002869323	Region.S.Rel.cont	OTU_22
0.000444156	Region.S.Rel.cont	OTU_22
0.000212668	Region.S.Rel.cont	OTU_22
6.69E-05	Region.S.Rel.cont	OTU_22
0.001267528	Region.S.Rel.cont	OTU_22
0.000409199	Region.S.Rel.cont	OTU_22
0.00025455	Region.S.Rel.cont	OTU_22
0.000192209	Region.S.Rel.cont	OTU_22
0.001480906	Region.S.Rel.cont	OTU_22
0.001793463	Region.S.Rel.cont	OTU_22
0.000412659	Region.S.Rel.cont	OTU_22
0.001058718	Region.S.Rel.cont	OTU_22
0.000299643	Region.S.Rel.cont	OTU_22
0.000508636	Region.S.Rel.cont	OTU_22
0.002522981	Region.S.Rel.cont	OTU_22
0.001029002	Region.S.Rel.cont	OTU_22
0.000423022	Region.S.Rel.cont	OTU_22
0.001156738	Region.S.Rel.cont	OTU_22
0.000814277	Region.S.Rel.cont	OTU_22
6.87E-05	Region.S.Rel.cont	OTU_22
0.000869352	Region.S.Rel.cont	OTU_22
1.12E-05	Region.S.Rel.cont	OTU_22
9.58E-06	Region.S.Rel.cont	OTU_22
9.56E-05	Region.S.Rel.cont	OTU_22
5.54E-05	Region.S.Rel.cont	OTU_22
8.32E-05	Region.S.Rel.cont	OTU_22
9.67E-05	Region.S.Rel.cont	OTU_22
1.99E-05	Region.S.Rel.cont	OTU_22
5.00E-05	Region.S.Rel.cont	OTU_22
0.000114076	Region.S.Rel.cont	OTU_22
0.000141856	Region.S.Rel.cont	OTU_22
1.25E-05	Region.S.Rel.cont	OTU_22
1.60E-05	Region.S.Rel.cont	OTU_22
0.005395683	Rel.cont.L	OTU_26
0.044437057	Rel.cont.L	OTU_26
0.000110534	Rel.cont.L	OTU_26
0.000137099	Rel.cont.L	OTU_26
0.000837154	Rel.cont.L	OTU_26
0.008903728	Region.P.Rel.cont	OTU_26
0.000397404	Region.P.Rel.cont	OTU_26
0.002816541	Region.P.Rel.cont	OTU_26
0.002730915	Region.P.Rel.cont	OTU_26
0.000670322	Region.P.Rel.cont	OTU_26
0.000228005	Region.P.Rel.cont	OTU_26
0.056377864	Region.P.Rel.cont	OTU_26
0.000105064	Region.P.Rel.cont	OTU_26
0.673299055	Region.P.Rel.cont	OTU_26
0.081322923	Region.P.Rel.cont	OTU_26
0.189231457	Region.P.Rel.cont	OTU_26
0.000748223	Region.P.Rel.cont	OTU_26
0.001653887	Region.P.Rel.cont	OTU_26
9.19E-05	Region.P.Rel.cont	OTU_26
0.107160931	Region.P.Rel.cont	OTU_26
0.000776864	Region.P.Rel.cont	OTU_26
0.004813692	Region.P.Rel.cont	OTU_26
0.011808577	Region.P.Rel.cont	OTU_26
0.000134771	Region.P.Rel.cont	OTU_26
0.014984575	Region.P.Rel.cont	OTU_26
0.000588582	Region.P.Rel.cont	OTU_26
0.01903182	Region.P.Rel.cont	OTU_26
0.000100594	Region.P.Rel.cont	OTU_26
9.71E-05	Region.P.Rel.cont	OTU_26
0.00038956	Region.P.Rel.cont	OTU_26
0.004366812	Region.P.Rel.cont	OTU_26
0.001241825	Region.P.Rel.cont	OTU_26
0.004559271	Region.P.Rel.cont	OTU_26
0.006711409	Region.P.Rel.cont	OTU_26
0.000445881	Region.P.Rel.cont	OTU_26
0.003034901	Region.P.Rel.cont	OTU_26
8.07E-05	Region.P.Rel.cont	OTU_26
0.002208047	Region.P.Rel.cont	OTU_26
0.000766357	Region.P.Rel.cont	OTU_26
0.001774744	Region.P.Rel.cont	OTU_26
0.000204248	Region.P.Rel.cont	OTU_26
0.001123073	Region.P.Rel.cont	OTU_26
0.000448163	Region.P.Rel.cont	OTU_26
0.000250854	Region.P.Rel.cont	OTU_26
0.071547053	Region.P.Rel.cont	OTU_26
0.000393043	Region.P.Rel.cont	OTU_26
0.056542315	Region.P.Rel.cont	OTU_26
0.001504983	Region.P.Rel.cont	OTU_26
0.065980459	Region.P.Rel.cont	OTU_26
0.009340239	Region.P.Rel.cont	OTU_26
0.00072692	Region.P.Rel.cont	OTU_26
0.011287564	Region.P.Rel.cont	OTU_26
0.03539752	Region.P.Rel.cont	OTU_26
0.000146879	Region.P.Rel.cont	OTU_26
7.39E-05	Region.P.Rel.cont	OTU_26
0.000412882	Region.P.Rel.cont	OTU_26
0.002625871	Region.P.Rel.cont	OTU_26
